id_registro;codigo_sesion;codigo_participante;area;fuente_evidencia;tarea_funcion;requisito_relacionado;estado_tarea;dificultad_incidente;comentario_participante;observacion_investigador;recomendacion;referencia_evidencia;estado_revision
OBS-005;VAL-ENF;P06;Enfermería;V Enfermeria.txt;Recetas y entrega de medicamentos;RF-32;COMPLETADA_CON_OBSERVACION;La fecha es importante para el control y reporte de medicamentos entregados.;Indica que la fecha serviría para contabilizar la entrega y evitar pérdida de información.;La sección de recetas fue revisada y se recomienda reforzar la trazabilidad temporal.;Mantener fecha visible/registrada en entrega de medicamentos.;V Enfermeria.txt;REVISADO
OBS-006;VAL-MG;P02;Medicina General;V Medicina General.txt;Agenda / visualización temporal;"RF-02; RF-36";COMPLETADA_CON_OBSERVACION;La agenda debería permitir una vista mensual.;Indica que sería ideal agregar el mes.;La vista temporal actual se considera incompleta.;Agregar vista por mes.;V Medicina General.txt;REVISADO
OBS-007;VAL-MG;P02;Medicina General;V Medicina General.txt;Historia clínica;"RF-01; RF-39";COMPLETADA_CON_OBSERVACION;La historia clínica podría contener más información.;Sugiere aumentar información como antecedentes personales del paciente.;Se identifica necesidad de ampliar el detalle clínico.;Ampliar campos de historia clínica cuando correspondan al área.;V Medicina General.txt;REVISADO
OBS-008;VAL-MG;P02;Medicina General;V Medicina General.txt;Derivaciones / campos obligatorios;"RF-35; RNF-13";NO_COMPLETADA;El sistema permitió intentar registrar información sin completar todos los campos.;Señala que no debería poder registrarse si no se llenan todos los campos.;Se observa una validación insuficiente de campos requeridos.;Impedir el registro cuando falten campos obligatorios.;V Medicina General.txt;REVISADO
OBS-009;VAL-MG;P02;Medicina General;V Medicina General.txt;Derivaciones / hora;RF-35;COMPLETADA_CON_OBSERVACION;La forma de registrar la hora puede mejorarse.;Recomienda que el profesional pueda registrar la hora de manera más directa.;Se registra recomendación sobre el manejo de la hora.;Mejorar el control para registrar la hora.;V Medicina General.txt;REVISADO
OBS-010;VAL-MG;P02;Medicina General;V Medicina General.txt;Legibilidad;"RNF-03; RNF-04";COMPLETADA_CON_OBSERVACION;El tamaño de las letras requiere mejora.;Menciona el tamaño de las letras como recomendación.;Se registra un problema de legibilidad.;Aumentar o permitir ajustar el tamaño de letra.;V Medicina General.txt;REVISADO
OBS-011;VAL-NUT;P04;Nutrición;V Nutricion.txt;Inicio / actividad reciente;"RF-28; RNF-13";COMPLETADA_CON_OBSERVACION;La misma persona aparece repetida varias veces y una cédula ingresada se guardó como número uno.;Indica que la página de inicio resulta confusa por registros repetidos y el problema de la cédula.;Se observan duplicación visual y un error de persistencia/registro del identificador.;Evitar duplicados y conservar correctamente la cédula registrada.;V Nutricion.txt;REVISADO
OBS-012;VAL-NUT;P04;Nutrición;V Nutricion.txt;Agenda;"RF-36; RF-37";COMPLETADA_CON_OBSERVACION;La agenda muestra día, semana, disponibilidad y canceladas.;Sugiere que al ingresar el paciente a evaluación se elimine o cambie el estado correspondiente en la agenda.;Se registra una mejora del flujo de estados de citas.;Actualizar claramente el estado de la cita después de la atención.;V Nutricion.txt;REVISADO
OBS-013;VAL-NUT;P04;Nutrición;V Nutricion.txt;Notificaciones;RF-11;COMPLETADA;La cuenta de correo visible en la interfaz se considera útil.;Indica que mostrar el correo al lado le parece correcto.;Hallazgo positivo de comprensión de la interfaz.;Mantener visible la cuenta asociada cuando sea pertinente.;V Nutricion.txt;REVISADO
OBS-014;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Agenda / citas;"RF-24; RF-36";COMPLETADA_CON_OBSERVACION;La visualización semanal no cubre citas que pueden desplazarse a otras semanas.;Recomienda una vista por meses.;Se registra necesidad de ampliar la visualización temporal.;Agregar visualización mensual de citas.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-015;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Perfil/configuración;RF-17;COMPLETADA_CON_OBSERVACION;No existe un apartado claro para subir foto y completar datos profesionales.;Sugiere implementar foto de perfil, datos y cédula profesional.;Se identifica una función de configuración de perfil faltante.;Agregar configuración de perfil profesional.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-016;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Personal / estado inactivo;"RF-17; RF-20";COMPLETADA_CON_OBSERVACION;El estado inactivo necesita respaldo del motivo.;Sugiere un área para revisar la razón o evidencia de por qué un profesional está inactivo.;Se identifica necesidad de justificar cambios de estado del personal.;Registrar motivo/evidencia del estado inactivo.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-017;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Inventario / permisos;"RF-10; RF-15; RF-30";NO_COMPLETADA;Un usuario que debería solo visualizar puede editar campos del inventario.;Indica que eso es un error y que solo el personal encargado debería editar y registrar.;Se observa inconsistencia de permisos por rol.;Restringir edición del inventario al personal autorizado.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-018;VAL-ODO;P05;Odontología;V Odontologia Coordinacion.txt;Antecedentes clínicos;"RF-01; RF-39";COMPLETADA_CON_OBSERVACION;Los antecedentes se presentan juntos.;Recomienda separar antecedentes personales y familiares.;Se identifica una mejora de organización de historia clínica.;Separar antecedentes personales y familiares.;V Odontologia Coordinacion.txt;REVISADO
OBS-019;VAL-ODO;P05;Odontología;V Odontologia Coordinacion.txt;Evolución clínica;RF-39;COMPLETADA_CON_OBSERVACION;La evolución requiere mayor organización.;Recomienda registrar la evolución por horas y responsable.;Se registra necesidad de mayor detalle temporal y de responsable.;Organizar evolución por hora y responsable.;V Odontologia Coordinacion.txt;REVISADO
OBS-020;VAL-REC;P07;Recepción/Recaudación;V Recepcion.txt;Áreas disponibles;RF-36;COMPLETADA_CON_OBSERVACION;La interfaz muestra pocas áreas.;Indica que deben agregarse todas las áreas del centro.;Se observa catálogo incompleto de áreas en el prototipo.;Agregar las áreas faltantes.;V Recepcion.txt;REVISADO
OBS-021;VAL-REC;P07;Recepción/Recaudación;V Recepcion.txt;Legibilidad;"RNF-03; RNF-04";COMPLETADA_CON_OBSERVACION;Algunos textos se ven muy pequeños.;Recomienda aumentar el tamaño de las letras.;Se registra un problema de legibilidad.;Aumentar o permitir ajustar el tamaño de letra.;V Recepcion.txt;REVISADO
OBS-022;VAL-REC;P07;Recepción/Recaudación;V Recepcion.txt;Pagos / campos;"RF-22; RF-33";COMPLETADA_CON_OBSERVACION;El campo concepto no resulta claro y monto pagado/valor total generan dudas.;Pregunta por el significado de concepto y por qué existen campos que parecen repetidos.;Se observa falta de claridad en etiquetas del formulario de pagos.;Aclarar o eliminar campos que no aporten información y diferenciar total/monto pagado.;V Recepcion.txt;REVISADO
OBS-023;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Accesibilidad / texto;"RNF-03; RNF-04";COMPLETADA_CON_OBSERVACION;Las letras son pequeñas y dificultan la lectura.;Solicita una opción para agrandar las letras e incluso plantea apoyo por voz.;Se observa una necesidad clara de accesibilidad visual.;"Permitir ajustar tamaño de texto; evaluar apoyo por voz.";V Simulador (Paciente).txt;REVISADO
OBS-024;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Datos personales;"RNF-03; RNF-04";COMPLETADA_CON_OBSERVACION;La etiqueta 'título identificador' no resulta comprensible.;Indica que debería eliminarse porque no representa algo descriptivo.;Se observa una etiqueta sin significado claro para el usuario.;Eliminar o reemplazar la etiqueta por una denominación clara.;V Simulador (Paciente).txt;REVISADO
OBS-025;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Menores / representante legal;"RF-29; RNF-16";COMPLETADA_CON_OBSERVACION;No existe una identificación clara de menor de edad bajo representante.;Solicita un apartado para registrar a un menor bajo tutela de un representante legal.;Se identifica una necesidad funcional para datos de menores.;Agregar relación menor de edad–representante legal.;V Simulador (Paciente).txt;REVISADO
OBS-026;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Solicitud de cita / horario;"RF-02; RF-13";NO_COMPLETADA;La selección de hora no es comprensible y podría permitir conflictos.;Solicita una forma más clara y que se muestren solo horarios disponibles.;Se observa dificultad para completar de forma autónoma la selección del horario.;Mostrar horarios disponibles mediante un selector comprensible.;V Simulador (Paciente).txt;REVISADO
OBS-027;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Pantalla inicial / legibilidad;"RNF-03; RNF-04";COMPLETADA_CON_OBSERVACION;Las letras y detalles no se visualizan bien y hay poca descripción.;Indica que las letras deberían ampliarse y la información describirse mejor.;Se observa problema de legibilidad y comprensión.;Aumentar letras y mejorar descripciones.;V TerapiaFisica.txt;REVISADO
OBS-028;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Agenda / horarios;"RF-18; RF-19; RF-24";COMPLETADA_CON_OBSERVACION;No resulta claro dónde consultar todas las citas y horarios asignados.;Solicita una sección con las citas y horarios de atención.;Se registra una necesidad de visualización clara de agenda profesional.;Mostrar agenda diaria con horarios asignados.;V TerapiaFisica.txt;REVISADO
OBS-029;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Valoración física;RF-40;COMPLETADA_CON_OBSERVACION;La valoración física no explica con claridad qué se registra.;Solicita detallar ejercicios, tiempo y número de actividades o sesiones.;Se identifica falta de detalle en la valoración y evolución de terapia.;Ampliar los campos de valoración física y seguimiento.;V TerapiaFisica.txt;REVISADO
OBS-030;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Módulos por rol;"RF-10; RF-30";COMPLETADA_CON_OBSERVACION;Aparece información de pagos que el área de terapia física no revisa.;Indica que en terapia física no se revisan pagos.;Se observa una función no pertinente para el rol.;Ocultar funciones de pagos para terapia física si no corresponden al rol.;V TerapiaFisica.txt;REVISADO
