Fila;Ley/Art.;Objetivo;Interesado;ID-EV;ID-RF/RNF;ID-CU;ID-HU;ID-CA;ID-Componente;ID-Mockup
37;No aplica;Reprogramar/cancelar citas por area;Recepcionista/Profesional;EV-Enf-01;RF-37;CU-21;US-23;CA-01 a CA-02;COMP-TerapiaFisica;MU-28
38;No aplica;Consultar rapido paciente registrado;Recepcionista;EV-Enf-01;RF-38;CU-07;US-22;CA-01 a CA-03;Modulo de Recepcion (CU-07/CU-08);MU-17
39;Art. 13/25/31 LOPDP;Registrar atencion clinica integral;Personal medico;EV-01;RF-39;CU-23/CU-24/CU-25/CU-26;US-24 a US-27;CA-01 a CA-02;COMP-MedicoGeneral;MU-03
40;No aplica;Tiempo de respuesta de consultas;Sistema;EV-02;RNF-01;No aplica — RNF transversal;No aplica — RNF;Métrica RNF-01;Sistema / historial clínico;No aplica
41;Art. 10/26 LOPDP;Confidencialidad: TLS 1.2+ y AES-256;Sistema;EV-01;RNF-02;CU-12/CU-13;No aplica — RNF;Métrica RNF-02;Servicio de seguridad;No aplica
42;No aplica;Usabilidad y finalización de tareas;Usuarios;EV-01 / ISO 9241-11;RNF-03;No aplica — prueba de usabilidad;No aplica — RNF;Métrica RNF-03;Interfaz transversal;No aplica
43;No aplica;Disponibilidad del sistema;Sistema;EV-02;RNF-04;No aplica — RNF transversal;No aplica — RNF;Métrica RNF-04;Infraestructura / aplicación;No aplica
44;No aplica;Mantenibilidad y arquitectura modular;Equipo técnico;EV-04;RNF-05;No aplica — RNF transversal;No aplica — RNF;Métrica RNF-05;Arquitectura por capas;No aplica
45;Art. 25/26/31 LOPDP;Control de acceso al historial;Personal clínico;EV-02 / EV-04;RNF-06;CU-02;No aplica — RNF;Métrica RNF-06;Servicio de seguridad / historial;No aplica
46;No aplica;Compatibilidad y portabilidad;Usuarios;N/A — criterio técnico de compatibilidad;RNF-07;No aplica — RNF transversal;No aplica — RNF;Métrica RNF-07;Cliente web;No aplica
47;No aplica;Búsqueda de expediente por cédula <= 3 s;Enfermería/Recepción;EV-04;RNF-08;CU-07;No aplica — RNF;Métrica RNF-08;Registro / búsqueda de pacientes;MU-17
48;No aplica;Disponibilidad mensual >= 99%;Sistema;EV-Enf-01;RNF-09;No aplica — RNF transversal;No aplica — RNF;Métrica RNF-09;Infraestructura / aplicación;No aplica
49;Art. 10/26 LOPDP;Autenticación individual y RBAC;Sistema;EV-Enf-01;RNF-10;CU-12/CU-13;No aplica — RNF;Métrica RNF-10;COMP-Login / seguridad;MU-01
50;No aplica;Propagación de datos entre módulos <= 10 s;Áreas clínicas;EV-Enf-01;RNF-11;No aplica — integración interna;No aplica — RNF;Métrica RNF-11;Integración entre módulos;No aplica
51;No aplica;Registro de paciente <= 5 min con error <= 5%;Recepción;EV-Enf-01;RNF-12;CU-20;US-18;Métrica RNF-12;Módulo de Recepción;MU-17
52;Art. 13/14 LOPDP;Integridad de datos obligatorios;Recepción;EV-Enf-01;RNF-13;CU-20;US-18;Métrica RNF-13;Módulo de Recepción;MU-17
53;No aplica;Portabilidad en equipos actuales;Usuarios;EV-Enf-01;RNF-14;No aplica — RNF transversal;No aplica — RNF;Métrica RNF-14;Cliente web;No aplica
54;No aplica;Informe de inventario <= 2 min;Enfermería/Coordinación;EV-Enf-01;RNF-15;CU-29;US-33;Métrica RNF-15;COMP-Enfermeria;MU-19
55;Art. 21/25/26 LOPDP;Identidad de menores sin asociación errónea;Recepción/Sistema;EV-Enf-01;RNF-16;CU-20;US-18;Métrica RNF-16;Módulo de Recepción;MU-17
56;No aplica;Explicabilidad y supervisión del asistente IA;Paciente;EV-01;RNF-18;No aplica — flujo definido en RF-16;No aplica — RNF;Métrica RNF-18;COMP-Paciente / asistente IA;MU-32
57;Art. 8/13/14 LOPDP;Registrar paciente nuevo;Recepcionista;EV-Enf-01;RF-28/RF-29;CU-20;US-18;CA-01 a CA-03;Modulo de Recepcion (CU-07/CU-08);MU-17
58;No aplica;Reagendar cita;Recepcionista;EV-Enf-01;RF-37;CU-21;US-23;CA-01 a CA-02;COMP-TerapiaFisica;MU-28
59;Art. 14 LOPDP;Actualizar historia clinica;Personal medico;EV-01;RF-01/RF-05;CU-22;US-05;CA-01 a CA-04;COMP-MedicoGeneral;MU-03
60;Art. 13/25 LOPDP;Registrar atencion medica;Personal medico;EV-01;RF-39;CU-23;US-24;CA-01 a CA-02;COMP-MedicoGeneral;MU-03
61;Art. 13/25 LOPDP;Registrar diagnostico;Medico;EV-01;RF-39;CU-24;US-25;CA-01 a CA-02;COMP-MedicoGeneral;MU-03
62;Art. 13/25 LOPDP;Registrar tratamiento;Medico;EV-01;RF-39;CU-25;US-26;CA-01 a CA-02;COMP-MedicoGeneral;MU-05
63;Art. 13/25 LOPDP;Registrar evolucion clinica;Medico/Nutricionista/Terapeuta;EV-01/EV-Enf-01;RF-39;CU-26;US-27;CA-01 a CA-02;COMP-MedicoGeneral;MU-03
64;Art. 13/25 LOPDP;Registrar plan nutricional;Nutricionista;EV-01;RF-40;CU-27;US-28;CA-01 a CA-02;Modulo de Nutricion (CU-27);MU-15
65;Art. 13/25 LOPDP;Registrar sesion de terapia;Terapeuta fisico;EV-Enf-01;RF-40;CU-28;US-29;CA-01 a CA-02;COMP-TerapiaFisica;MU-26
66;No aplica;Gestionar inventario;Enfermeria;EV-Enf-01;RF-15/RF-31;CU-29;US-33;CA-01 a CA-02;COMP-Enfermeria;MU-19
67;Art. 25 LOPDP;Registrar entrega trazable de medicamentos;Enfermero;EV-Enf-01;RF-32;CU-30;US-34;CA-01 a CA-02;COMP-Enfermeria;MU-19
68;No aplica;Gestionar cuentas de usuario;Administrador;EV-04;RF-10;CU-31;US-30;CA-01 a CA-02;COMP-Login;MU-01
69;No aplica;Recuperar contrasena;Usuario;EV-01;RF-09;CU-32;US-31;CA-01 a CA-02;COMP-Login;MU-01
70;No aplica;Cerrar sesion;Usuario;EV-01;RF-09;CU-33;US-32;CA-01 a CA-02;COMP-Login;MU-01
