Matriz de Trazabilidad ;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Fuente;Requisito;CU;Clase UML;Proceso DFD;Estado;BDD;CP;Historia;Estado de la traza
Entrevista al personal médico;RF-39;CU-23/CU-24/CU-25/CU-26;Atencion, Diagnostico, Tratamiento, Evolucion;P03 Gestionar historia clínica;Atención abierta -> Cerrada;BDD-RF-39;CP-RF-39;US-24/US-25/US-26/US-27;Completa
Fisioterapeuta / Entrevista al personal de especialidades;RF-40;CU-27/CU-28;PlanNutricional, SesionTerapia, HistoriaClinica;P03 Gestionar historia clínica;Sesión/plan -> Registrado;BDD-RF-40;CP-RF-40;US-28/US-29;Completa
EV-01 / ISO 25010;RNF-01;CU-02;HistoriaClinica;P03 Gestionar historia clínica;Consulta -> Resultado;BDD-RNF-01;CP-RNF-01;US-02;Completa
LOPDP / ISO 27001;RNF-02;CU-12/CU-13;Usuario, HistoriaClinica;P00 Autenticar y autorizar;Sesión -> Acceso protegido;BDD-RNF-02;CP-RNF-02;US-07/US-08;Completa
EV-01 / ISO 9241-11;RNF-03;CU-01/CU-02;InterfazUsuario;P01/P02;Tarea -> Completada;BDD-RNF-03;CP-RNF-03;US-01/US-02;Completa
EV-01 / ISO 25010;RNF-04;CU-01..CU-35;SistemaSICM;Todos;Operativo -> Disponible;BDD-RNF-04;CP-RNF-04;Todas;Completa
Arquitectura del SICM / ISO 25010;RNF-05;CU-13/CU-29;Modulo, Servicio;P00-P12;Cambio -> Validado;BDD-RNF-05;CP-RNF-05;US-08/US-33;Completa
EV-04 / LOPDP;RNF-06;CU-10/CU-13;Rol, Permiso, HistoriaClinica;P00;Solicitud -> Permitida/Denegada;BDD-RNF-06;CP-RNF-06;US-19;Completa
Restricción técnica / ISO 25010;RNF-07;CU-01..CU-35;InterfazUsuario;Todos;Vista -> Renderizada;BDD-RNF-07;CP-RNF-07;Todas;Completa
EV-Enf-01;RNF-08;CU-07;Paciente, HistoriaClinica;P01;Consulta -> Encontrado;BDD-RNF-08;CP-RNF-08;US-17;Completa
EV-Enf-01;RNF-09;CU-06/CU-07/CU-08;SistemaSICM;P01/P03/P07;Operativo -> Disponible;BDD-RNF-09;CP-RNF-09;US-16/US-17/US-20;Completa
EV-Enf-01 / LOPDP;RNF-10;CU-12/CU-13;Usuario, Rol, Permiso;P00;Solicitud -> Permitida/Denegada;BDD-RNF-10;CP-RNF-10;US-07/US-08;Completa
EV-Enf-01;RNF-11;CU-06/CU-09;SignosVitales, Derivacion;P03/P04;Guardado -> Propagado;BDD-RNF-11;CP-RNF-11;US-16/US-19;Completa
EV-Enf-01;RNF-12;CU-20;Paciente, InterfazUsuario;P01;Inicio -> Registro completo;BDD-RNF-12;CP-RNF-12;US-18;Completa
EV-Enf-01;RNF-13;CU-07/CU-20;Paciente;P01;Captura -> Validada;BDD-RNF-13;CP-RNF-13;US-18;Completa
Inventario técnico del centro;RNF-14;CU-01..CU-35;InterfazUsuario;Todos;Inicio -> Compatible;BDD-RNF-14;CP-RNF-14;Todas;Completa
EV-Enf-01;RNF-15;CU-29;Inventario, Reporte;P06;Solicitud -> Reporte;BDD-RNF-15;CP-RNF-15;US-33;Completa
EV-Enf-01 / LOPDP;RNF-16;CU-20;Paciente, Representante;P01;Menor -> Vinculado;BDD-RNF-16;CP-RNF-16;US-18;Completa
EV-01 / AI Act art. 50 / OMS;RNF-18;CU-34;AsistenteVirtual, ConsultaIA;P11;Consulta -> Derivada/Explicada;BDD-RNF-18;CP-RNF-18;US-35;Completa
EV-01 / RF-16;RF-IA1-02;CU-34;AsistenteVirtual, ConsultaIA;P11 Asistente virtual IA;Consulta -> Intención clasificada;BDD-RF-IA1-02;CP-RF-IA1-02;US-35;Completa
EV-01 / RF-16 / OMS;RF-IA1-03;CU-34;AsistenteVirtual, DerivacionIA;P11 Asistente virtual IA;Consulta -> Derivada;BDD-RF-IA1-03;CP-RF-IA1-03;US-35;Completa
RF-16 / Vogelsang y Borg;RNF-IA1-P01;CU-34;ModeloIntenciones;P11 Asistente virtual IA;Modelo evaluado -> Aprobado/Rechazado;BDD-RNF-IA1-P01;CP-RNF-IA1-P01;US-35;Completa
RF-16 / ISO 25010;RNF-IA1-P02;CU-34;AsistenteVirtual;P11 Asistente virtual IA;Consulta -> Respuesta;BDD-RNF-IA1-P02;CP-RNF-IA1-P02;US-35;Completa
RF-16 / RNF-04;RNF-IA1-P03;CU-34;AsistenteVirtual, FallbackIA;P11 Asistente virtual IA;Disponible -> Fallo -> Fallback;BDD-RNF-IA1-P03;CP-RNF-IA1-P03;US-35;Completa
PE5 / Habibullah et al.;RNF-IA1-E01;CU-34;ModeloIntenciones;P11 Asistente virtual IA;Evaluado -> Brecha aceptable/alerta;BDD-RNF-IA1-E01;CP-RNF-IA1-E01;US-35;Completa
PE5 / Habibullah et al.;RNF-IA1-E02;CU-34;ModeloIntenciones;P11 Asistente virtual IA;Evaluado -> Brecha aceptable/alerta;BDD-RNF-IA1-E02;CP-RNF-IA1-E02;US-35;Completa
RF-02 / RF-11 / EV-02;RF-IA2-01;CU-35;ModeloInasistencia, Cita;P12 Estimar riesgo de inasistencia;Cita confirmada -> Riesgo estimado;BDD-RF-IA2-01;CP-RF-IA2-01;US-36;Completa
RF-11 / RF-IA2-01;RF-IA2-02;CU-35;ModeloInasistencia, Notificacion;P12 Estimar riesgo de inasistencia;Riesgo estimado -> Estrategia asignada;BDD-RF-IA2-02;CP-RF-IA2-02;US-37;Completa
RF-12 / RF-IA2-02;RF-IA2-03;CU-35;PrediccionInasistencia, Auditoria;P12 Estimar riesgo de inasistencia;Predicción -> Confirmada/Anulada;BDD-RF-IA2-03;CP-RF-IA2-03;US-38;Completa
RF-IA2-01 / literatura RE4AI;RNF-IA2-P01;CU-35;ModeloInasistencia;P12 Estimar riesgo de inasistencia;Modelo evaluado -> Aprobado/Rechazado;BDD-RNF-IA2-P01;CP-RNF-IA2-P01;US-36;Completa
RF-IA2-01 / ISO 25010;RNF-IA2-P02;CU-35;ModeloInasistencia;P12 Estimar riesgo de inasistencia;Solicitud -> Predicción;BDD-RNF-IA2-P02;CP-RNF-IA2-P02;US-36;Completa
RF-11 / RNF-04;RNF-IA2-P03;CU-35;ModeloInasistencia, FallbackIA;P12 Estimar riesgo de inasistencia;Disponible -> Fallo -> Recordatorio estándar;BDD-RNF-IA2-P03;CP-RNF-IA2-P03;US-37;Completa
PE5 / Habibullah et al.;RNF-IA2-E01;CU-35;ModeloInasistencia;P12 Estimar riesgo de inasistencia;Evaluado -> Brecha aceptable/alerta;BDD-RNF-IA2-E01;CP-RNF-IA2-E01;US-36;Completa
PE5 / Habibullah et al.;RNF-IA2-E02;CU-35;ModeloInasistencia;P12 Estimar riesgo de inasistencia;Evaluado -> Brecha aceptable/alerta;BDD-RNF-IA2-E02;CP-RNF-IA2-E02;US-36;Completa
PE5 / AI Act enfoque de transparencia;RNF-IA2-X01;CU-35;PrediccionInasistencia;P12 Estimar riesgo de inasistencia;Predicción -> Explicada;BDD-RNF-IA2-X01;CP-RNF-IA2-X01;US-38;Completa
