id_registro;codigo_sesion;codigo_participante;area;fuente_evidencia;tarea_funcion;requisito_relacionado;estado_tarea;dificultad_incidente;comentario_participante;observacion_investigador;recomendacion;referencia_evidencia;estado_revision
OBS-013;VAL-NUT;P04;Nutrición;V Nutricion.txt;Notificaciones;RF-11;COMPLETADA;La cuenta de correo visible en la interfaz se considera útil.;Indica que mostrar el correo al lado le parece correcto.;Hallazgo positivo de comprensión de la interfaz.;Mantener visible la cuenta asociada cuando sea pertinente.;V Nutricion.txt;REVISADO
OBS-014;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Agenda / citas;"RF-24; RF-36";COMPLETADA_CON_OBSERVACION;La visualización semanal no cubre citas que pueden desplazarse a otras semanas.;Recomienda una vista por meses.;Se registra necesidad de ampliar la visualización temporal.;Agregar visualización mensual de citas.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-015;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Perfil/configuración;RF-17;COMPLETADA_CON_OBSERVACION;No existe un apartado claro para subir foto y completar datos profesionales.;Sugiere implementar foto de perfil, datos y cédula profesional.;Se identifica una función de configuración de perfil faltante.;Agregar configuración de perfil profesional.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-016;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Personal / estado inactivo;"RF-17; RF-20";COMPLETADA_CON_OBSERVACION;El estado inactivo necesita respaldo del motivo.;Sugiere un área para revisar la razón o evidencia de por qué un profesional está inactivo.;Se identifica necesidad de justificar cambios de estado del personal.;Registrar motivo/evidencia del estado inactivo.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-017;VAL-COORD;P05;Coordinación;V Odontologia Coordinacion (1).txt;Inventario / permisos;"RF-10; RF-15; RF-30";NO_COMPLETADA;Un usuario que debería solo visualizar puede editar campos del inventario.;Indica que eso es un error y que solo el personal encargado debería editar y registrar.;Se observa inconsistencia de permisos por rol.;Restringir edición del inventario al personal autorizado.;V Odontologia Coordinacion (1).txt;REVISADO
OBS-018;VAL-ODO;P05;Odontología;V Odontologia Coordinacion.txt;Antecedentes clínicos;"RF-01; RF-39";COMPLETADA_CON_OBSERVACION;Los antecedentes se presentan juntos.;Recomienda separar antecedentes personales y familiares.;Se identifica una mejora de organización de historia clínica.;Separar antecedentes personales y familiares.;V Odontologia Coordinacion.txt;REVISADO
OBS-019;VAL-ODO;P05;Odontología;V Odontologia Coordinacion.txt;Evolución clínica;RF-39;COMPLETADA_CON_OBSERVACION;La evolución requiere mayor organización.;Recomienda registrar la evolución por horas y responsable.;Se registra necesidad de mayor detalle temporal y de responsable.;Organizar evolución por hora y responsable.;V Odontologia Coordinacion.txt;REVISADO
OBS-020;VAL-REC;P07;Recepción/Recaudación;V Recepcion.txt;Áreas disponibles;RF-36;COMPLETADA_CON_OBSERVACION;La interfaz muestra pocas áreas.;Indica que deben agregarse todas las áreas del centro.;Se observa catálogo incompleto de áreas en el prototipo.;Agregar las áreas faltantes.;V Recepcion.txt;REVISADO
OBS-021;VAL-REC;P07;Recepción/Recaudación;V Recepcion.txt;Legibilidad;RNF-03;COMPLETADA_CON_OBSERVACION;Algunos textos se ven muy pequeños.;Recomienda aumentar el tamaño de las letras.;Se registra un problema de legibilidad.;Aumentar o permitir ajustar el tamaño de letra.;V Recepcion.txt;REVISADO
OBS-022;VAL-REC;P07;Recepción/Recaudación;V Recepcion.txt;Pagos / campos;"RF-22; RF-33";COMPLETADA_CON_OBSERVACION;El campo concepto no resulta claro y monto pagado/valor total generan dudas.;Pregunta por el significado de concepto y por qué existen campos que parecen repetidos.;Se observa falta de claridad en etiquetas del formulario de pagos.;Aclarar o eliminar campos que no aporten información y diferenciar total/monto pagado.;V Recepcion.txt;REVISADO
OBS-023;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Accesibilidad / texto;RNF-03;COMPLETADA_CON_OBSERVACION;Las letras son pequeñas y dificultan la lectura.;Solicita una opción para agrandar las letras e incluso plantea apoyo por voz.;Se observa una necesidad clara de accesibilidad visual.;"Permitir ajustar tamaño de texto; evaluar apoyo por voz.";V Simulador (Paciente).txt;REVISADO
OBS-024;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Datos personales;RNF-03;COMPLETADA_CON_OBSERVACION;La etiqueta 'título identificador' no resulta comprensible.;Indica que debería eliminarse porque no representa algo descriptivo.;Se observa una etiqueta sin significado claro para el usuario.;Eliminar o reemplazar la etiqueta por una denominación clara.;V Simulador (Paciente).txt;REVISADO
OBS-025;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Menores / representante legal;"RF-29; RNF-16";COMPLETADA_CON_OBSERVACION;No existe una identificación clara de menor de edad bajo representante.;Solicita un apartado para registrar a un menor bajo tutela de un representante legal.;Se identifica una necesidad funcional para datos de menores.;Agregar relación menor de edad–representante legal.;V Simulador (Paciente).txt;REVISADO
OBS-026;VAL-PAC;P08;Paciente (simulación);V Simulador (Paciente).txt;Solicitud de cita / horario;"RF-02; RF-13";NO_COMPLETADA;La selección de hora no es comprensible y podría permitir conflictos.;Solicita una forma más clara y que se muestren solo horarios disponibles.;Se observa dificultad para completar de forma autónoma la selección del horario.;Mostrar horarios disponibles mediante un selector comprensible.;V Simulador (Paciente).txt;REVISADO
OBS-027;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Pantalla inicial / legibilidad;RNF-03;COMPLETADA_CON_OBSERVACION;Las letras y detalles no se visualizan bien y hay poca descripción.;Indica que las letras deberían ampliarse y la información describirse mejor.;Se observa problema de legibilidad y comprensión.;Aumentar letras y mejorar descripciones.;V TerapiaFisica.txt;REVISADO
OBS-028;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Agenda / horarios;"RF-18; RF-19; RF-24";COMPLETADA_CON_OBSERVACION;No resulta claro dónde consultar todas las citas y horarios asignados.;Solicita una sección con las citas y horarios de atención.;Se registra una necesidad de visualización clara de agenda profesional.;Mostrar agenda diaria con horarios asignados.;V TerapiaFisica.txt;REVISADO
OBS-029;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Valoración física;RF-40;COMPLETADA_CON_OBSERVACION;La valoración física no explica con claridad qué se registra.;Solicita detallar ejercicios, tiempo y número de actividades o sesiones.;Se identifica falta de detalle en la valoración y evolución de terapia.;Ampliar los campos de valoración física y seguimiento.;V TerapiaFisica.txt;REVISADO
OBS-030;VAL-TF;P03;Terapia Física;V TerapiaFisica.txt;Módulos por rol;"RF-10; RF-30";COMPLETADA_CON_OBSERVACION;Aparece información de pagos que el área de terapia física no revisa.;Indica que en terapia física no se revisan pagos.;Se observa una función no pertinente para el rol.;Ocultar funciones de pagos para terapia física si no corresponden al rol.;V TerapiaFisica.txt;REVISADO
OBS-031;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Menú / identificación visual;RNF-03;COMPLETADA_CON_OBSERVACION;Planes psicológicos e historial clínico general utilizan iconografía que puede confundirse.;Indica que el icono repetido puede hacer que se pierda al identificar los módulos.;Se observa inconsistencia visual entre módulos del rol de Psicología.;Usar iconos diferenciados y consistentes por módulo.;09_V_Psicologia.txt;REVISADO
OBS-032;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Historia clínica previa;"RF-01; RF-39";COMPLETADA_CON_OBSERVACION;El historial general no separa claramente antecedentes psicológicos ni motivo de derivación.;Solicita un campo específico de motivo de derivación o antecedentes psicológicos previos.;El historial es consultable, pero la información especializada puede quedar mezclada.;Incorporar o visualizar contexto psicológico relevante sin duplicar la historia clínica.;09_V_Psicologia.txt;REVISADO
OBS-033;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Registro de sesión psicológica;"RF-40; RNF-03";COMPLETADA_CON_OBSERVACION;El formulario de registro se abre en una ventana/vista separada y no fue evidente de inmediato.;Los campos son comprensibles, pero la forma de presentación produjo una duda inicial.;La tarea se completa con una dificultad de comprensión de la transición de interfaz.;Integrar visualmente el formulario con el panel o reforzar la transición y el contexto.;09_V_Psicologia.txt;REVISADO
OBS-034;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Campos clínicos por especialidad;"RF-39; RNF-03";COMPLETADA_CON_OBSERVACION;En la historia clínica aparecen datos generales que la participante considera poco pertinentes para Psicología.;Propone hacer opcionales campos clínicos generales que no aplican al rol y añadir objetivo terapéutico.;Se identifica necesidad de adecuar la presentación de datos al contexto del rol.;Priorizar campos pertinentes para Psicología sin perder la integridad del historial general.;09_V_Psicologia.txt;REVISADO
OBS-035;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Confirmación de guardado;RNF-03;COMPLETADA_CON_OBSERVACION;La confirmación visual después de guardar la sesión se percibe débil.;Indica que no fue evidente que la sesión quedó registrada hasta volver a la pantalla anterior.;Se observa falta de retroalimentación visible después del guardado.;Mostrar confirmación clara de registro exitoso.;09_V_Psicologia.txt;REVISADO
OBS-036;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Consulta de historial;"RF-01; RF-39";COMPLETADA_CON_OBSERVACION;Las atenciones aparecen cronológicamente, pero no están separadas visualmente por especialidad.;Sugiere filtrar el historial únicamente por atenciones psicológicas.;La consulta es posible, aunque puede requerir búsqueda adicional.;Agregar filtro por especialidad manteniendo el historial integral.;09_V_Psicologia.txt;REVISADO
OBS-037;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Derivación;RF-35;COMPLETADA_CON_OBSERVACION;La derivación se completa y el área destino se selecciona claramente.;Solicita poder adjuntar o escribir un breve resumen de la atención para el área receptora.;El flujo es comprendido y completado, con una mejora de contexto clínico sugerida.;Añadir nota/resumen de contexto en la derivación cuando corresponda.;09_V_Psicologia.txt;REVISADO
OBS-038;VAL-PSI;P09;Psicología;09_V_Psicologia.txt;Agenda profesional;"RF-19; RF-24";COMPLETADA;La agenda del rol se identifica y la participante indica que está correctamente filtrada.;La agenda de Psicología fue comprensible.;Hallazgo positivo sobre la visualización de agenda por rol.;Mantener filtrado y claridad de agenda profesional.;09_V_Psicologia.txt;REVISADO
OBS-039;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Legibilidad del panel e indicadores;RNF-03;COMPLETADA_CON_OBSERVACION;Texto, números y gráficas se distinguen con dificultad sin zoom.;Solicita títulos y textos más grandes y mayor contraste.;Se observa una barrera de legibilidad en varios elementos del panel.;Aumentar tamaño tipográfico y contraste.;10_V_Simulador_Paciente02.txt;REVISADO
OBS-040;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Notificaciones y mensajes;RF-11;COMPLETADA_CON_OBSERVACION;No se diferencia claramente si existen mensajes no leídos.;Sugiere mostrar un indicador de mensajes no leídos.;La participante comprende la sección, pero solicita señalización de estado.;Agregar indicador visual de mensajes no leídos.;10_V_Simulador_Paciente02.txt;REVISADO
OBS-041;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Registro y edición de datos del paciente;RF-28;COMPLETADA_CON_OBSERVACION;Campos como cédula y teléfono no informan claramente la longitud permitida.;Solicita límites visibles y confirmación de datos registrados.;Se identifica necesidad de retroalimentación y validación visible.;Mostrar restricciones de longitud y confirmación de guardado.;10_V_Simulador_Paciente02.txt;REVISADO
OBS-042;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Solicitud de cita;"RF-02; RF-13";COMPLETADA_CON_OBSERVACION;La selección asigna profesional automáticamente y la oferta horaria se percibe limitada.;Solicita elegir profesional y disponer de horarios claramente presentados.;El flujo de solicitud es utilizado, con observaciones sobre selección y horarios.;Revisar presentación de profesionales y disponibilidad horaria.;10_V_Simulador_Paciente02.txt;REVISADO
OBS-043;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Consulta de historial clínico;"RF-01; RF-39";NO_COMPLETADA;La búsqueda de historial no devuelve información durante la sesión.;Indica que no comprende algunos campos y que la búsqueda no funciona.;La tarea no pudo completarse según la evidencia transcrita.;Verificar búsqueda, carga de datos y explicación de campos del historial.;10_V_Simulador_Paciente02.txt;REVISADO
OBS-044;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Datos clínicos del historial;RNF-13;COMPLETADA_CON_OBSERVACION;Datos previamente registrados no se reflejan como esperaba y faltan campos clínicos en el registro previo.;Considera que ciertos datos deberían ser completados por personal clínico.;Se observa inconsistencia percibida entre datos personales e historial clínico.;Diferenciar datos administrativos de datos clínicos y validar obligatoriedad.;10_V_Simulador_Paciente02.txt;REVISADO
OBS-045;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Notificaciones y cuenta de correo;RNF-03;COMPLETADA_CON_OBSERVACION;La participante considera pequeñas varias etiquetas y propone una denominación más clara.;Sugiere mejorar tamaño de letras y claridad de la sección.;Hallazgo de comprensión y legibilidad.;Revisar nomenclatura y accesibilidad visual.;10_V_Simulador_Paciente02.txt;REVISADO
OBS-046;VAL-PAC02;P10;Paciente simulado;10_V_Simulador_Paciente02.txt;Asistente virtual;RNF-18;NO_COMPLETADA;El asistente no responde adecuadamente a la pregunta realizada durante la sesión.;La participante considera que la función no le resulta útil en ese estado.;La interacción registrada no satisface la expectativa de respuesta.;Revisar funcionamiento, alcance y mensajes explicativos del asistente.;10_V_Simulador_Paciente02.txt;REVISADO
