RF;Nombre;Prioridad;Evidencia_walkthrough_original;Estado_walkthrough;Cambio_posterior;Verificacion_final;Estado_C3;Evidencia_final
RF-18;Asignar y consultar turnos del personal médico;Must;OBS-028;EVIDENCIA_EXISTENTE_NO_SUFICIENTE_PARA_CIERRE;No se declara cumplimiento final.;NO CERRADO;NO_PASA;No se contabiliza en la cobertura
RF-19;Consultar disponibilidad del personal médico;Must;OBS-028;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.102 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-21;Emitir comprobante interno de pago;Must;;SIN_OBSERVACION_ESPECIFICA;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.235 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-22;Registrar pagos totales o parciales;Must;OBS-022;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.037 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-24;Configurar horarios y turnos por área médica;Must;"OBS-014; OBS-028";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (2.183 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-26;Registro digital de signos vitales y atención de enfermería;Must;"OBS-001; OBS-003";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.147 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-27;Búsqueda de paciente por número de cédula;Must;OBS-002;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.097 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-28;Registro de datos personales completos del paciente;Must;"OBS-002; OBS-004; OBS-011";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.18 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-30;Restricción de acceso a la información clínica por rol;Must;"OBS-017; OBS-030";EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.235 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-33;Registrar cobro por área de atención;Must;OBS-022;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.204 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-34;Asignación de turno de atención;Must;;SIN_OBSERVACION_ESPECIFICA;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.098 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
RF-38;Consulta rápida de paciente ya registrado;Must;OBS-002;EVIDENCIA_FORMATIVA_EXISTENTE;"Sí, si el requisito fue afectado por observaciones o cierre del MVP; los videos originales no fueron alterados.";PASA - prueba técnica reproducible (0.066 ms);PASA;05_MVP/index.html + 06_Experimento/scripts_analisis/verificar_rf_must.js + verificacion_tecnica_RF_Must.json
